dia,mes,ano,diasem,dem,temp,dem1,dem2,dem3,dem4,dem5,dem6,dem7,dem8,dem9,dem10,dem11,dem12,dem13,dem14,dem15,dem16,dem17,dem18,dem19,dem20,dem21,dem22,dem23,dem24
1,1,2024,2,515,15.04,21846,21155,19981,18821,18115,17880,18082,18459,18420,18777,19952,21021,21181,21389,21426,20727,20929,22321,24880,26218,27231,27413,25777,23415
2,1,2024,3,654,17.19,21375,19655,18722,18325,18330,19071,21829,25467,28154,29879,30575,30370,30382,30881,30971,30546,30470,31093,32487,32841,33425,32804,29887,26851
3,1,2024,4,677,17.98,24698,22810,21613,21086,20933,21553,23852,26947,29560,31061,31638,31101,30699,31115,31040,30370,30203,30651,31918,32377,32895,32313,29754,26960
4,1,2024,5,684,16.53,24876,22957,21798,21247,21061,21626,24058,27225,29540,31107,31622,31598,31591,31930,31762,31069,30871,31095,32118,32545,33025,32404,29716,26879
5,1,2024,6,651,13.2,24838,22948,21738,21017,20843,21389,23374,26411,28554,30148,30301,30087,30027,30062,29739,28878,28585,28949,29745,29848,30220,29837,27914,25770
6,1,2024,7,570,12.64,24167,22249,20850,20016,19646,19629,19960,20661,21373,22827,24333,24645,24559,24690,24335,23424,23663,24572,26652,27631,28387,28738,27445,25513
7,1,2024,1,591,12.54,23661,21749,20462,19654,19230,19336,19928,20923,21776,23207,24511,24755,24746,25303,25830,25243,25224,26232,29078,30652,31817,31853,29540,26605
8,1,2024,2,736,11.83,24263,22478,21512,21220,21254,22200,25506,30699,34086,34728,34223,33462,32958,32749,32825,33085,33432,34579,36160,37197,37881,36803,32992,29340
9,1,2024,3,769,11.69,27044,25117,23970,23443,23461,24201,27250,32022,34916,35557,35564,35028,34740,35040,34982,34770,34786,35374,36704,37564,38015,36823,33174,29409
10,1,2024,4,773,11.85,27176,25222,23964,23498,23493,24201,27340,32059,34810,35694,36119,36100,35983,36205,35821,35342,34991,35254,36431,37360,37860,36410,32856,29195
11,1,2024,5,760,11.42,27002,25159,23990,23509,23421,24127,27252,32006,34781,35437,35429,34474,33805,33822,33469,33206,33392,34305,36149,37373,38021,36845,33579,29816
12,1,2024,6,758,12.56,27545,25526,24488,24088,24000,24673,27852,32707,35452,36003,35629,34666,34110,33528,33014,32589,32947,33528,35297,36218,36416,35467,32650,29642
13,1,2024,7,672,14.84,27631,25626,24322,23336,22898,22786,23446,25076,26800,29015,30277,30313,29867,29955,29962,29364,28991,29369,30979,31736,32049,31654,29594,27248
14,1,2024,1,616,17.27,25138,23119,21684,20852,20362,20406,20729,21623,22489,24359,26246,27150,27439,28150,28378,27325,26752,27033,29040,30481,31309,30731,28825,26281
15,1,2024,2,726,17.55,24048,22561,21716,21298,21384,22384,25865,30632,33453,34117,34433,34252,34266,34371,33935,33170,32822,33047,34219,35179,35654,34475,31034,27679
16,1,2024,3,726,18.93,25843,24118,23129,22661,22614,23425,26374,30950,33204,33415,33302,33138,33166,33187,33027,32659,32305,32701,34006,35089,35607,34254,30602,27383
17,1,2024,4,712,18.56,25774,24233,23164,22726,22691,23325,26173,30415,32546,32876,32689,32223,32215,32358,31613,30869,30904,31487,32958,34281,34904,33888,30628,27511
18,1,2024,5,702,18.38,25620,23974,23124,22670,22694,23239,26212,30352,32357,32370,31799,31165,30927,30983,30775,30468,30738,31115,32456,33633,34270,33251,30145,27228
19,1,2024,6,730,13.46,25733,24085,22978,22759,22639,23137,26129,30353,32476,33416,34198,34618,34881,34838,34119,33266,32734,32857,33828,34587,34611,33423,30523,27916
20,1,2024,7,640,12.39,26358,24446,23066,22327,21887,21919,22589,24156,25859,27963,29066,28725,27934,27771,27709,27054,26885,27548,29244,30469,30920,30672,28647,26428
21,1,2024,1,598,14.98,24753,22832,21605,20960,20538,20371,20901,21886,22876,24373,25721,25585,25273,25462,25546,24796,24727,25617,27716,29708,30840,30961,28937,26369
