"fecha"	"dia"	"mes"	"ano"	"diasem"	"dem"	"temp"	"dem1"	"dem2"	"dem3"	"dem4"	"dem5"	"dem6"	"dem7"	"dem8"	"dem9"	"dem10"	"dem11"	"dem12"	"dem13"	"dem14"	"dem15"	"dem16"	"dem17"	"dem18"	"dem19"	"dem20"	"dem21"	"dem22"	"dem23"	"dem24"
20220601	1	6	2022	4	665	29.09	25275	24005	22995	22635	22635	22974	24761	26953	28336	29155	29700	30041	30544	30774	30551	30005	29878	29786	29456	29461	29814	29842	28820	26630
20220602	2	6	2022	5	671	28.51	25626	24311	23371	22983	22790	23222	24961	27290	28405	29235	29754	30327	30901	31178	31116	30597	30407	30257	29572	29406	29797	30034	28954	26555
20220603	3	6	2022	6	669	27.99	25669	24443	23746	23440	23363	23650	25341	27451	29112	29881	30324	30612	31120	31229	30790	29808	29429	29580	29401	29182	28831	28999	28011	26062
20220604	4	6	2022	7	594	27.19	25396	24110	23036	22378	21943	21744	21742	22195	23668	25387	26500	26907	27099	27418	26958	25550	24905	24786	25064	25306	25572	26093	25982	24173
20220605	5	6	2022	1	550	29.26	22853	21741	20892	20404	19993	19980	19853	19601	20615	21950	23194	23755	24263	24872	24967	23828	23316	23366	23890	24354	25126	26038	26533	24605
20220606	6	6	2022	2	630	30.19	23044	21918	21132	20699	20580	21094	22897	24959	26354	27472	28121	28519	29171	29759	29544	28571	28580	28646	28365	28257	28677	29048	28322	25992
20220607	7	6	2022	3	677	31.33	25022	23732	22941	22354	22194	22635	24551	26854	28578	29613	30410	31048	31690	32019	31592	30883	30896	31099	30828	30547	30364	30457	29454	26849
20220608	8	6	2022	4	685	29.97	25718	24644	23727	23319	23204	23562	25310	27538	28960	29728	30460	30983	31681	32372	32042	31404	31314	31014	30494	30410	30333	30290	29399	27219
20220609	9	6	2022	5	690	30.41	26415	25087	24172	23775	23574	24000	25474	27554	29111	29921	30555	31035	31742	32116	31839	31189	31059	31149	30995	30874	30741	30566	29686	27391
20220610	10	6	2022	6	694	31.78	26341	24877	23906	23408	23312	23701	25237	27426	28979	30017	30905	31439	32372	32858	32538	31931	31737	31758	31511	31394	31087	30475	29522	27511
20220611	11	6	2022	7	637	32.26	26695	25326	24180	23427	23013	22760	22556	22963	24505	26291	27559	28339	28967	29579	29377	28572	28138	28130	28171	27967	28060	28232	27770	26222
20220612	12	6	2022	1	591	33.18	24594	23122	22000	21250	20733	20640	20500	20468	21287	22751	24234	25344	26170	26978	27425	26732	26415	26304	26456	26693	27308	28276	28716	26779
20220613	13	6	2022	2	711	33.91	25071	23615	22513	21922	21645	22019	24441	27010	29080	30479	31503	32345	33321	34103	34270	34089	34158	34343	33800	33506	33191	32886	32181	29709
20220614	14	6	2022	3	757	35.23	28355	26993	25914	25289	24917	25269	26949	29131	30906	32324	33477	34251	35192	35826	35839	35635	35673	35446	34822	34329	33923	33478	32796	30675
20220615	15	6	2022	4	776	35.59	29029	27584	26315	25738	25410	25758	27405	29683	31412	32893	34392	35311	36321	37120	37345	37175	37026	36936	36108	35394	34515	34035	32849	30372
20220616	16	6	2022	5	771	35.68	28970	27493	26324	25744	25377	25567	27140	29285	31281	32722	34061	35025	36204	37044	37318	36935	36731	36521	35619	34984	34155	33485	32503	30173
20220617	17	6	2022	6	767	37.54	28635	26758	25543	25093	24979	25311	26823	28887	30976	32621	34174	35363	36710	37520	37529	37088	36774	36511	35744	34873	33934	32941	32081	30139
20220618	18	6	2022	7	678	35.6	28789	27051	25515	24551	24075	23773	23581	24052	25656	27682	29585	30626	31257	31871	31802	31233	30603	30447	30180	29909	29663	29508	29237	27513
20220619	19	6	2022	1	593	30.77	25841	24137	23010	22226	21912	21684	21433	21194	22167	23247	24293	25131	25602	26376	26632	25936	25459	25613	25894	26293	26800	27474	28240	26640
20220620	20	6	2022	2	703	28.98	25113	23768	22902	22537	22487	23020	25192	27807	29914	31358	32371	32910	33707	33953	33751	32994	32730	32646	31924	31546	31355	31039	30148	27921
20220621	21	6	2022	3	712	28.52	26760	25697	24775	24246	23962	24499	26302	28570	30342	31591	32356	32947	33529	33810	33547	32827	32378	32027	31523	31527	31022	30767	29732	27547
20220622	22	6	2022	4	691	26.84	26596	25417	24288	23868	23560	24054	25612	27821	29719	30577	31263	31563	31999	32178	31796	31100	30785	30757	30429	30304	30117	30025	29403	27373
20220623	23	6	2022	5	667	27.43	26327	25037	24105	23539	23330	23675	25107	27027	28601	29702	30426	30682	31079	31246	30653	29635	29455	29436	28955	28736	28608	28215	27354	25626
20220624	24	6	2022	6	614	29.3	24886	23843	22962	22393	22217	22259	22999	24039	25046	25835	26569	27039	27546	28044	28010	27102	26815	26734	26737	26974	27092	27100	26818	25060
20220625	25	6	2022	7	591	28.28	24524	23281	22305	21594	21322	21155	21316	21738	23132	24948	26259	26805	27095	27547	27125	26152	25543	25475	25793	26035	25950	25849	25573	24163
20220626	26	6	2022	1	550	26.87	22821	21585	20695	19997	19770	19734	19695	19619	20411	22006	23481	24159	24589	25238	25458	24504	23886	23708	24045	24346	24722	25375	25767	24253
20220627	27	6	2022	2	643	27.17	22770	21515	20616	20231	20132	20779	22956	25286	27368	28811	29896	30378	30857	31205	30791	29774	29563	29590	29250	29151	29020	28947	28150	25980
20220628	28	6	2022	3	673	29.69	24927	23840	22881	22535	22538	23001	24746	26714	28348	29652	30437	30946	31434	31705	31221	30455	30405	30516	30298	30314	30180	29871	29109	26684
20220629	29	6	2022	4	680	28.82	25789	24447	23410	23058	22833	23270	24953	26813	28268	29689	30695	31242	31975	32495	32142	31297	31012	30880	30538	30299	29848	29471	28800	26818
20220630	30	6	2022	5	675	28.13	25846	24579	23578	23053	22867	23147	24835	26727	28308	29540	30470	30994	31610	32053	31638	30869	30687	30537	30028	29728	29445	29266	28701	26649
20220701	1	7	2022	6	667	29.52	25661	24296	23320	22913	22699	23153	24726	26570	27841	28744	30014	30858	31297	31539	31235	30483	30034	30023	29845	29747	29332	28617	27842	26152
20220702	2	7	2022	7	621	31.12	25649	24352	23382	22683	22214	22164	22273	22639	24078	25916	27484	28007	28377	28626	28485	27612	27099	26889	26942	27338	27562	27739	27323	25863
20220703	3	7	2022	1	579	30.45	24267	22959	21754	21045	20646	20564	20511	20438	21333	22775	24270	25109	25762	26447	26719	25917	25453	25224	25554	25917	26100	26659	27225	25941
20220704	4	7	2022	2	682	31.13	24406	23093	22176	21737	21544	22090	24114	26465	28003	29357	30602	31326	32169	32775	32637	32114	31871	31830	31433	31252	31207	30872	30537	28310
20220705	5	7	2022	3	706	31.14	26970	25278	24147	23882	23580	23983	25829	27923	29266	30686	31961	32899	33762	34289	25638	33557	33248	33091	32421	32022	31614	31295	30451	28170
20220706	6	7	2022	4	709	29.27	27207	25820	24770	24366	24086	24455	26168	28239	29972	31123	32157	32844	33491	34001	33645	32716	32011	31836	31100	30834	30527	30158	29486	27501
20220707	7	7	2022	5	699	30.33	26679	25272	24278	23616	23479	23831	25540	27501	28921	30045	30935	31605	32262	32868	32814	32287	32085	31996	31558	31335	30979	30572	30033	28171
20220708	8	7	2022	6	708	31.97	27141	25635	24462	24092	23774	24145	25817	27769	29222	30522	31591	32410	33113	33739	33658	32933	32575	32413	31966	31730	31363	30372	29646	27630
20220709	9	7	2022	7	638	33.62	26791	25524	24257	23398	22855	22649	22653	23034	24370	26229	27887	28669	29337	29931	29998	29325	29016	28926	28933	21802	28821	28433	28086	26593
20220710	10	7	2022	1	612	34.7	25102	23583	22521	21924	21559	21370	21152	20987	21877	23278	25132	26157	26906	28009	28541	28081	27619	27579	27742	28132	28299	28859	29546	28053
20220711	11	7	2022	2	737	35.38	26485	25002	23942	23461	23062	23592	25723	27756	29854	31682	33063	34128	35079	35770	35855	35413	35208	35143	34388	33936	33232	32698	32177	30099
20220712	12	7	2022	3	765	36.07	28801	27120	25989	25357	25000	25225	26868	28788	30547	32422	33831	34864	35814	36542	36889	36398	36232	36145	35523	35076	34337	33716	32951	30811
20220713	13	7	2022	4	781	38.06	29467	27801	26545	25915	25547	25669	27420	29288	31116	32973	34560	35625	36630	37650	37843	37374	37101	36777	35893	35449	34892	34290	33614	31457
20220714	14	7	2022	5	785	37.17	30226	28297	27076	26318	25902	26116	27740	29553	31215	32873	34331	35462	36777	37601	37854	37364	37262	36866	36113	35572	34931	34265	33727	31470
20220715	15	7	2022	6	780	37.07	30417	28541	27215	26335	25982	26052	27535	29191	30780	32548	34135	35396	36513	37510	37701	37119	36969	36731	35934	35450	34558	33581	32765	30734
20220716	16	7	2022	7	703	37.82	29751	28189	26839	25954	25407	24930	24865	25020	26183	27937	29604	30595	31489	32436	32677	32196	32001	31677	31431	31457	31410	31352	30938	28992
20220717	17	7	2022	1	653	38.53	27472	26002	24753	23907	23353	22968	22773	22453	22987	24382	26046	27229	28227	29446	30178	29919	29667	29408	29466	29768	30065	30761	31374	29919
20220718	18	7	2022	2	771	36.08	28269	26475	25259	24647	24326	24809	27023	29027	31177	33074	34352	35480	36497	37235	37388	37067	37089	36756	35628	35164	34654	34346	33714	31400
20220719	19	7	2022	3	767	33.79	29882	28107	26722	25966	25586	25865	27646	29353	31179	32741	34022	34756	35576	36376	36279	35877	35931	35734	34885	34298	33746	33607	33013	30188
20220720	20	7	2022	4	765	33.15	29227	27542	26368	25634	25268	25446	27139	28840	29755	31152	32557	33827	35816	36972	37083	36588	36450	36231	35539	35037	34304	33871	33142	30790
20220721	21	7	2022	5	777	34.18	29565	27569	26292	25724	25540	25743	27411	29243	30981	32756	34334	35175	36271	37234	37450	37097	36859	36838	36009	35535	34769	34229	33493	31238
20220722	22	7	2022	6	776	33.87	30126	28363	26983	26350	26104	26281	28011	29666	31334	32883	34368	35653	36821	37468	37369	36793	36266	35910	35260	34710	33890	33021	32044	30006
20220723	23	7	2022	7	683	34.15	29256	27360	25857	24896	24059	23646	23733	24020	25268	26989	28847	29856	30750	31606	31681	31421	31099	30823	30804	30772	30783	30706	30248	28566
20220724	24	7	2022	1	641	36.55	27161	25578	24335	23381	22771	22501	22405	22031	22759	24162	25603	26623	27595	28636	29420	29352	29129	28976	29059	29268	29598	30241	30939	29469
20220725	25	7	2022	2	730	34.76	27793	25868	24671	23927	23423	23621	25252	26705	28243	30136	31823	33186	34076	35026	35359	34873	34695	34406	33953	33523	33083	32926	32620	30809
20220726	26	7	2022	3	764	32.92	29404	27636	26376	25552	25096	25238	26958	28958	30764	32376	33527	34685	35687	36525	36536	36183	35976	35686	35015	34622	33998	33631	32836	30547
20220727	27	7	2022	4	748	31.74	29320	27661	26400	25643	25263	25477	27319	28928	30371	31825	33138	34052	34777	35414	35311	34741	34641	34435	33777	33434	32753	32386	31575	29511
20220728	28	7	2022	5	749	32.69	28580	26995	25878	25260	24976	25264	27161	28883	30384	31906	33170	33956	34917	35601	35725	35201	34974	34583	34016	33656	33166	32826	31978	30033
20220729	29	7	2022	6	740	32.61	29024	27523	26147	25398	25033	25393	27074	28849	30398	32000	33244	34010	34896	35451	35249	34559	34112	33907	33105	32619	31960	31505	30428	28505
20220730	30	7	2022	7	660	32.84	27747	26411	25066	24245	23691	23281	23576	23531	24618	26423	28002	28847	29696	30452	30688	30486	30007	29666	29502	29314	29104	29324	28780	27329
20220731	31	7	2022	1	620	34.03	25899	24520	23465	22398	21929	21739	21854	21397	21930	23355	24780	25987	26824	27980	28733	28470	28102	28035	28170	28456	28647	29544	29909	28165
20220801	1	8	2022	2	727	34.72	26381	24709	23643	22938	22693	23158	25243	26963	28908	30684	32371	33517	34513	35523	35723	35233	34898	34548	33967	33364	32941	33118	32214	30075
20220802	2	8	2022	3	746	35.55	28419	26660	25459	24697	24523	24742	26451	27933	29406	31261	32779	33812	35010	35929	36088	35572	35435	35126	34282	33586	33091	33111	32186	29942
20220803	3	8	2022	4	731	34.9	28744	26995	25719	24868	24521	24698	26389	27851	29119	30931	32479	33407	34601	35585	35755	35320	26288	34635	33971	33266	32479	32366	31511	29520
20220804	4	8	2022	5	728	33.57	27979	26363	25223	24517	24091	24303	25938	27412	28710	30385	31933	33023	33950	34918	35069	34471	34341	34186	33406	32680	32154	32264	31326	29099
20220805	5	8	2022	6	709	32.91	27659	26266	24994	24262	23824	23972	25525	27018	28297	29802	31470	32339	33360	34135	34269	33770	33361	32791	32072	31584	30864	30571	29461	27524
20220806	6	8	2022	7	640	33.41	26381	24945	23684	22873	22528	22310	22692	22661	23754	25425	27164	28015	28582	29455	29750	29589	29477	29353	29238	29163	28773	29266	28478	26829
20220807	7	8	2022	1	597	33.7	25521	24085	22744	21927	21258	20967	21143	20863	21407	22884	24255	25049	25711	26763	27350	27132	26910	27042	27154	27180	27129	28103	27964	26360
20220808	8	8	2022	2	671	33.38	24756	23248	22184	21581	21419	21831	23695	25170	26739	28290	29450	30280	31066	32151	32511	31940	31776	31735	31415	30849	30401	30764	29793	27701
20220809	9	8	2022	3	685	34.42	26429	24818	23610	22770	22450	22710	24322	25767	26973	28585	29898	30862	31700	32567	32858	32329	32203	32000	31585	31046	30408	30981	30045	27776
20220810	10	8	2022	4	701	35.61	26715	25107	23993	23433	23222	23410	24891	26287	27346	28880	30295	31520	32575	33471	33656	33053	33058	32922	32492	31733	31428	31820	30766	28598
