sexo	titu	palma	perim	brazo	hombros	altura	zapato
Chico	GITI	230	200	925	1500	1800	43
Chica	GITI	210	173	825	1350	1600	39
Chico	GITI	210	200	1000	1480	1820	44
Chico	GITI	210	205	850	1450	1700	42
Chico	GITI	190	210	820	1570	1780	43
Chico	GITI	230	220	850	1500	1760	43
Chica	GITI	190	170	860	1320	1660	38
Chica	GITI	202	183	852	1400	1690	39
Chica	GITI	198	160	790	1320	1585	37
Chica	GITI	210	200	865	1480	1730	39
Chica	GIQ	190	185	900	1310	1610	36.5
Chico	GITI	230	235	890	1490	1820	44
Chico	GITI	210	195	920	1470	1800	42
Chico	GITI	220	200	970	1550	1870	45
Chica	GITI	197	178	841	1380	1680	37
Chica	GITI	210	180	865	1460	1770	41
Chico	GITI	205	200	850	1480	1690	42
Chico	GITI	212	203	895	1570	1845	42
Chica	GITI	190	170	1000	1460	1780	40
Chica	GIQ	210	200.5	930	1480	1720	41.42
Chica	GITI	190	175	830	1330	1610	38
Chica	GIQ	175	190	770	1300	1550	36
Chica	GITI	165	175	750	1300	1600	38
Chica	GIQ	190	170	820	1340	1650	39
Chico	GITI	200	190	1000	1700	1890	43
Chico	GITI	215	207	900	1530	1830	43
Chico	GITI	235	195	780	1530	1800	43
Chica	GIQ	190	180	800	1310	1580	37
Chico	GITI	240	213	920	1430	1640	45
Chico	GITI	195	205	880	1550	1850	43
Chico	GITI	225	210	960	1530	1850	43
Chico	GITI	205	210	910	1400	1700	42
Chico	GITI	200	180	770	1400	1700	40
Chico	GITI	213	192	866	1520	1810	43
Chico	GIQ	190	180	1000	1500	1750	42
Chico	GIQ	210	196	895	1450	1750	43
Chico	GITI	212	204	885	1550	1780	44
Chico	GITI	212	204	885	1550	1780	44
Chica	GITI	170	170	770	1400	1640	36
Chico	GITI	230	250	910	1460	1800	46
Chico	GITI	215	210	910	1500	1780	44
Chico	GITI	240	213	910	1460	1730	45
Chico	GITI	217	198	1002	1660	1910	44
Chico	GITI	224	200	860	1450	1750	45
Chico	GITI	234	223	902	1425	1770	44
Chica	GITI	200	180	820	1380	1630	39
Chico	GITI	213	215	830	1520	1810	44
Chica	GITI	180	164	880	1460	1680	38
Chico	GITI	240	210	920	1590	1810	44
Chica	GITI	185	167	765	1350	1620	36
Chico	GITI	211	208	950	1490	1760	43
Chico	GITI	230	220	870	1440	1740	45
Chico	GITI	236	215	905	1330	1660	42
Chico	GITI	236	215	905	1330	1660	42
Chico	GIQ	200	190	1000	1500	1830	44
Chica	GIQ	180	192	774	1345	1550	38
Chico	GITI	170	210	880	1560	1820	43
Chico	GITI	160	200	1000	1680	1800	43
Chico	GITI	221	175	820	1555	1700	42
Chico	GITI	205	200	825	1330	1675	42
Chico	GITI	190	230	840	1440	1700	43
Chico	GITI	210	190	870	1570	1850	42
Chico	GITI	220	191	926	1420	1770	42
Chico	GITI	221	209	875	1380	1720	41.5
Chico	GITI	220	226	920	1500	1780	45
Chica	GIQ	190	192	805	1380	1650	38
Chica	GITI	185	197	760	1315	1565	37
Chica	GITI	185	167	765	1300	1590	37
Chico	GIQ	210	200	780	1520	1750	41
Chica	GIQ	210	175	760	1380	1720	40
Chico	GITI	225	215	920	1520	1750	44
Chica	GITI	210	180	860	1400	1710	38
Chica	GITI	190	195	800	1400	1680	38
Chica	GITI	200	165	860	1420	1700	38
Chica	GITI	192	190	805	1410	1650	37
Chica	GITI	192	162	785	1330	1575	36
Chica	GITI	180	170	780	1330	1580	36
Chico	GITI	230	210	900	1490	1790	45
Chica	GITI	185	185	825	1420	1690	38
Chica	GITI	180	170	830	1340	1650	36
Chico	GITI	217	209	870	1550	1810	43.5
Chico	GITI	200	210	900	1540	1810	42
Chico	GITI	210	210	850	1500	1790	40
Chico	GITI	203	205	875	1480	1780	41.5
Chica	GITI	185	179	809	1350	1630	38
Chico	GITI	227	192	865	1470	1730	42
Chico	GITI	215	200	770	1465	1760	42
Chico	GIQ	215	195	925	1600	1850	45.5
Chico	GITI	228	214	890	1550	1795	43
Chico	GITI	230	210	870	1510	1770	43
Chico	GITI	245	230	960	1560	1900	46
Chico	GITI	195	205	855	1470	1760	41
Chico	GITI	220	228	880	1550	1680	41
Chica	GITI	195	190	750	1420	1670	40
Chico	GIQ	200	215	900	1620	1790	42
Chico	GITI	180	150	800	1600	1800	41
Chica	GIQ	200	185	810	1380	1670	39
Chico	GITI	185	200	880	1460	1710	42
Chica	GIO	160	160	850	1340	1670	37.5
Chica	GIQ	170	185	825	1380	1630	38
Chico	GITI	190	210	850	1500	1710	40
