absorbido   tiempo   temperatura
35.5        E1       T1
29.7        E1       T1
31.5        E1       T1
52.5        E2       T1
53.3        E2       T1
55          E2       T1
85.9        E3       T1
85.2        E3       T1
80.2        E3       T1
91.2        E1       T2
100.7       E1       T2
82.4        E1       T2
71          E2       T2
77          E2       T2
75.6        E2       T2
87          E3       T2
86.1        E3       T2
88.1        E3       T2
70.1        E1       T3
64.1        E1       T3
70.1        E1       T3
79.4        E2       T3
77.7        E2       T3
75.1        E2       T3
83          E3       T3
87          E3       T3
78.5        E3       T3
