"PROVINC"  "N_S"  "ALIMENT"  "VESTIDO"  "VIVIENDA"  "SALUD"  "TRANSP"  "CULTURA"
"ALAVA"  "Norte"  2275  929  7781  638  1408  3524
"ALBACETE"  "Sur"  1253  449  2245  266  800  1182
"ALICANTE"  "Sur"  1512  598  3104  527  1401  2785
"ALMERIA"  "Sur"  1338  423  2218  287  818  1378
"ASTURIAS"  "Norte"  1751  769  4129  374  1318  2446
"AVILA"  "Norte"  1706  500  2180  256  883  1445
"BADAJOZ"  "Sur"  1098  366  1896  176  757  868
"BALEARES"  "Norte"  1777  629  6211  438  2079  2802
"BARCELONA"  "Norte"  1977  649  4777  724  1909  3778
"BURGOS"  "Norte"  1878  498  5132  266  1225  2499
"C.REAL"  "Sur"  1301  388  2663  241  582  967
"CACERES"  "Sur"  1246  399  2157  240  1075  1104
"CADIZ"  "Sur"  1325  429  2191  309  836  1278
"CANTABRIA"  "Norte"  1910  882  5079  414  1880  2350
"CASTELLON"  "Norte"  1676  620  3974  592  1412  2310
"CEUTA"  "Sur"  1332  498  2018  275  657  1554
"CORDOBA"  "Sur"  1370  518  2262  292  897  1469
"CUENCA"  "Sur"  1341  433  2633  221  816  1612
"GERONA"  "Norte"  1986  715  4491  917  2217  3090
"GRANADA"  "Sur"  1215  499  2136  203  897  1328
"GUADALAJARA"  "Norte"  1414  400  2451  256  835  1603
"GUIPUZCOA"  "Norte"  2018  779  6777  676  1570  4281
"HUELVA"  "Sur"  1389  393  2617  287  848  1228
"HUESCA"  "Norte"  1925  608  5078  507  1725  2752
"JAEN"  "Sur"  1273  423  3016  203  707  1253
"LA_CORUNA"  "Norte"  1971  620  3696  278  1169  1581
"LAS PALMAS"  "Sur"  1337  293  2047  309  1089  1879
"LEON"  "Norte"  1708  509  3543  296  1484  1761
"LERIDA"  "Norte"  2040  683  3284  699  1506  3241
"LUGO"  "Norte"  2199  684  3474  417  1450  1249
"MADRID"  "Norte"  1718  664  6449  575  2238  4275
"MALAGA"  "Sur"  1363  535  2295  245  1046  1776
"MELILLA"  "Sur"  1899  563  1857  515  569  1560
"MURCIA"  "Sur"  1650  493  2962  350  1002  1683
"NAVARRA"  "Norte"  2091  890  4503  666  2297  3848
"ORENSE"  "Norte"  2122  806  2975  334  1047  1144
"PALENCIA"  "Norte"  1991  689  2926  383  1579  2890
"PONTEVEDRA"  "Norte"  1934  594  3450  334  1280  1276
"RIOJA"  "Norte"  1787  641  3669  339  1273  2099
"S.C.DE TENER"  "Sur"  1286  355  2658  460  1344  1783
"SALAMANCA"  "Norte"  1865  548  2803  327  868  1793
"SEGOVIA"  "Norte"  2007  672  3004  327  1142  2299
"SEVILLA"  "Sur"  1283  427  2693  262  1118  1644
"SORIA"  "Norte"  2005  568  3316  286  981  1687
"TARRAGONA"  "Norte"  1800  509  3292  518  1499  2658
"TERUEL"  "Norte"  1675  394  1838  250  769  1680
"TOLEDO"  "Sur"  1261  372  2134  266  857  1352
"VALENCIA"  "Sur"  1472  456  3152  396  1435  2397
"VALLADOLID"  "Norte"  1817  607  3381  394  1594  2626
"VIZCAYA"  "Norte"  2030  943  6406  632  2108  4130
"ZAMORA"  "Norte"  1821  467  2628  189  833  1360
"ZARAGOZA"  "Norte"  1879  545  4477  865  1410  3382
