Country ATTINDEX Opp_Perception Startup_Skills Nonfear_Failure Networking Cult_Support
Albania 0.19 0.08 0.17 0.18 0.36 0.24
Algeria 0.26 0.50 0.33 0.30 0.13 0.23
Angola 0.14 0.47 0.04 0.07 0.15 0.07
Argentina 0.40 0.80 0.82 0.36 0.31 0.18
Australia 0.64 0.71 0.69 0.78 0.52 0.76
Austria 0.57 0.49 0.57 0.84 0.70 0.56
Bahrain 0.40 0.41 0.61 0.39 0.49 0.51
Bangladesh 0.09 0.24 0.03 0.00 0.02 0.18
Barbados 0.44 0.07 0.80 0.90 0.45 0.67
Belgium 0.53 0.59 0.54 0.80 0.42 0.53
Belize 0.11 0.08 0.26 0.07 0.15 0.05
Benin 0.15 0.24 0.07 0.25 0.04 0.24
Bolivia 0.25 0.34 0.53 0.21 0.22 0.13
Bosnia_Herzegovina 0.20 0.06 0.31 0.18 0.34 0.25
Botswana 0.28 0.29 0.06 0.66 0.06 0.59
Brazil 0.37 0.76 0.35 0.44 0.38 0.35
Brunei 0.26 0.13 0.07 0.65 0.35 0.37
Bulgaria 0.35 0.25 0.53 0.39 0.50 0.27
BurkinaFaso 0.12 0.10 0.03 0.27 0.01 0.26
Burundi 0.04 0.00 0.03 0.10 0.02 0.07
Cameroon 0.19 0.46 0.15 0.25 0.05 0.15
Canada 0.66 0.64 0.61 1.00 0.57 0.93
Chad 0.06 0.15 0.01 0.10 0.01 0.06
Chile 0.56 0.77 0.68 0.79 0.45 0.77
China 0.31 0.42 0.19 0.33 0.50 0.27
Colombia 0.39 0.83 0.44 0.48 0.30 0.33
Costa_Rica 0.35 0.29 0.32 0.60 0.49 0.41
Côte_d_Ivoire 0.16 0.36 0.11 0.27 0.03 0.13
Croatia 0.31 0.10 0.45 0.51 0.41 0.23
Cyprus 0.31 0.04 0.48 0.29 0.43 0.55
Czech 0.35 0.22 0.43 0.66 0.37 0.21
Denmark 0.63 0.54 0.50 0.80 0.76 0.82
Dominican_Republic 0.33 0.40 0.48 0.33 0.46 0.29
Ecuador 0.28 0.40 0.59 0.19 0.27 0.16
Egypt 0.26 0.24 0.32 0.32 0.28 0.27
El_Salvador 0.25 0.32 0.27 0.40 0.16 0.27
Estonia 0.39 0.11 0.48 0.59 0.53 0.52
Ethiopia 0.09 0.14 0.06 0.10 0.00 0.21
Finland 0.63 0.47 0.64 0.86 0.90 0.88
France 0.56 0.50 0.37 0.73 0.84 0.62
Gambia 0.14 0.19 0.05 0.10 0.13 0.28
Germany 0.50 0.45 0.32 0.67 0.52 0.73
Ghana 0.26 0.42 0.11 0.46 0.11 0.47
Greece 0.31 0.09 0.83 0.29 0.36 0.23
Guatemala 0.19 0.31 0.22 0.21 0.11 0.22
Honduras 0.17 0.22 0.22 0.24 0.11 0.12
Hong_Kong 0.35 0.18 0.20 0.77 0.47 0.56
Hungary 0.35 0.18 0.46 0.57 0.46 0.36
Iceland 0.60 0.28 0.66 0.84 0.95 0.66
India 0.22 0.34 0.16 0.38 0.09 0.25
Indonesia 0.18 0.37 0.23 0.18 0.11 0.10
Iran 0.22 0.41 0.43 0.20 0.11 0.09
Ireland 0.48 0.15 0.52 0.78 0.59 0.74
Israel 0.48 0.43 0.46 0.61 0.55 0.54
Italy 0.37 0.29 0.50 0.60 0.37 0.29
Jamaica 0.27 0.23 0.41 0.34 0.30 0.30
Japan 0.27 0.05 0.14 0.76 0.28 0.37
Jordan 0.35 0.33 0.43 0.42 0.36 0.50
Kazakhstan 0.27 0.40 0.30 0.22 0.39 0.25
Kenya 0.18 0.17 0.04 0.27 0.38 0.12
Korea 0.39 0.15 0.49 0.69 0.55 0.45
Kuwait 0.43 0.90 0.23 0.56 0.40 0.53
Latvia 0.35 0.14 0.53 0.51 0.56 0.28
Lebanon 0.36 0.54 0.75 0.38 0.32 0.18
Lithuania 0.35 0.14 0.49 0.55 0.40 0.36
Macedonia 0.28 0.17 0.43 0.18 0.49 0.31
Madagascar 0.13 0.18 0.04 0.27 0.01 0.19
Malawi 0.09 0.08 0.00 0.10 0.02 0.31
Malaysia 0.32 0.39 0.19 0.51 0.58 0.26
Mali 0.14 0.18 0.07 0.27 0.03 0.21
Mauritania 0.09 0.17 0.04 0.10 0.03 0.15
Mexico 0.33 0.70 0.30 0.46 0.36 0.15
Moldova 0.17 0.04 0.22 0.16 0.32 0.15
Montenegro 0.33 0.10 0.62 0.16 0.72 0.30
Morocco 0.32 0.36 0.16 0.53 0.53 0.33
Namibia 0.21 0.13 0.08 0.52 0.07 0.40
Netherlands 0.66 0.62 0.50 0.90 0.75 1.00
Nigeria 0.26 0.63 0.14 0.07 0.55 0.16
Norway 0.64 0.62 0.49 0.86 0.83 0.81
Oman 0.39 0.46 0.28 0.39 0.55 0.57
Pakistan 0.11 0.24 0.03 0.07 0.15 0.12
Panama 0.36 0.34 0.52 0.61 0.42 0.26
Paraguay 0.23 0.33 0.50 0.19 0.22 0.10
Peru 0.38 0.72 0.47 0.30 0.47 0.32
Philippines 0.29 0.57 0.37 0.30 0.29 0.17
Poland 0.43 0.31 0.67 0.48 0.56 0.46
Portugal 0.38 0.13 0.55 0.60 0.33 0.55
Puerto_Rico 0.47 0.37 0.80 0.79 0.39 0.53
Qatar 0.48 0.70 0.11 0.51 0.73 0.91
Romania 0.29 0.18 0.46 0.37 0.31 0.25
Russia 0.24 0.31 0.38 0.28 0.35 0.05
Rwanda 0.15 0.07 0.06 0.10 0.19 0.39
Saudi_Arabia 0.44 1.00 0.46 0.30 0.43 0.56
Senegal 0.23 0.29 0.10 0.44 0.23 0.23
Serbia 0.29 0.15 0.64 0.21 0.47 0.20
Singapore 0.43 0.27 0.27 0.79 0.26 0.77
Slovakia 0.41 0.13 0.52 0.60 0.88 0.27
Slovenia 0.46 0.08 0.85 0.70 0.69 0.52
South_Africa 0.28 0.38 0.11 0.66 0.09 0.41
Spain 0.46 0.21 0.67 0.66 0.46 0.51
Swaziland 0.09 0.04 0.03 0.07 0.09 0.24
Sweden 0.73 0.88 0.53 0.83 0.93 0.84
Switzerland 0.58 0.42 0.39 0.88 0.58 0.90
Syria 0.22 0.34 0.30 0.25 0.14 0.21
Taiwan 0.49 0.38 0.41 0.63 0.59 0.47
Tanzania 0.15 0.20 0.01 0.27 0.15 0.21
Thailand 0.24 0.19 0.37 0.33 0.14 0.30
Trinidad_Tobago 0.27 0.03 0.17 0.61 0.47 0.33
Tunisia 0.36 0.28 0.32 0.53 0.48 0.51
Turkey 0.35 0.39 0.40 0.50 0.27 0.39
UAE 0.39 0.46 0.24 0.46 0.56 0.62
Uganda 0.14 0.07 0.05 0.24 0.19 0.19
