precio dorm aseos m2 cent punt
604000 4 3 182 0 2
233000 3 2 159 0 1
667000 3 1 130 1 3
1350000 3 2.5 256 0 3
505000 3 1.75 234 0 3
317625 3 2.75 257 1 2
571000 4 2 255 1 2
349000 3 1.75 166 0 2
305000 5 2.25 247 0 2
314000 3 1.75 168 0 2
850830 3 2.5 192 1 3
570000 3 1.75 117 1 1
445000 4 1.75 195 0 2
822500 5 3.5 216 1 2
269950 2 1.75 124 0 1
371500 3 2 127 1 2
589000 4 3 227 1 2
423000 4 2 183 0 2
390000 3 2.25 116 0 2
5e+05 4 2.75 212 0 2
475000 3 1.5 230 0 2
416000 3 2 206 0 2
592500 2 2 132 1 2
369900 1 0.75 71 0 1
450000 3 2 213 0 3
2050000 5 3 356 1 3
550000 3 2 183 1 3
665000 4 2.75 308 0 3
834000 4 2.5 220 1 3
2384000 5 2.5 339 1 3
487000 3 2 241 1 3
940000 4 2 231 1 3
791500 4 2 140 1 2
437500 2 1 92 1 2
375000 4 1.75 204 0 2
315000 4 2.25 203 0 2
530000 4 2.25 203 0 2
330000 2 1 113 1 2
423000 4 2.25 204 1 2
625000 3 1.75 149 1 2
245000 3 2.5 142 0 2
1e+06 4 2.5 242 1 3
227950 3 1.5 155 0 2
520000 3 2.25 241 0 3
578000 4 2.5 292 0 3
255000 3 1.75 115 0 2
232000 3 1.75 121 0 2
615000 3 1.75 177 1 2
2250000 4 2.25 442 1 3
288000 3 1 111 0 1
1450000 3 3 407 1 3
396000 3 1.5 121 1 2
671500 5 2.75 201 1 2
650000 5 2.75 237 1 3
685000 3 2 191 1 3
469000 4 2.75 330 0 3
218000 3 1 89 0 1
426700 3 1.75 193 0 2
245000 3 1.5 126 0 2
1120000 3 1.5 279 1 3
1250000 4 3.25 294 1 3
664000 4 2.75 233 0 3
1484900 5 2.5 425 0 3
7e+05 5 2.5 263 0 3
310000 3 1.75 138 0 1
250000 4 1.75 159 0 2
405500 3 1.5 94 1 2
565000 2 1 89 1 2
320000 3 1.5 153 0 2
501000 3 1.75 183 0 3
950000 3 1.75 200 1 3
447000 3 1 127 1 2
850000 3 1.75 127 1 2
405300 3 2.75 222 0 2
260000 3 1.75 102 0 2
760000 4 2.5 226 1 3
2250000 5 4.25 452 1 3
305000 3 1 116 0 2
4e+05 3 1.75 148 1 1
710000 4 2 162 1 3
1216000 4 2.5 296 1 3
565000 3 2.75 222 0 3
1100000 3 2 280 1 3
825000 3 1.75 187 1 2
425000 3 1 141 0 3
795000 3 2 271 1 3
720000 3 1.75 190 1 2
930000 4 2.5 204 1 3
530000 3 1.75 116 1 2
255000 3 1.75 131 0 2
550000 5 2.75 201 1 2
290000 5 1.5 197 0 2
891000 4 2 216 1 2
570000 4 3 138 0 2
915000 5 2.5 255 1 3
345500 3 1 125 0 1
650000 4 2 205 1 3
210000 4 2 141 0 1
460000 4 1.75 163 1 2
283000 4 1.5 137 0 1
446450 3 1.5 137 0 2
249900 3 1.75 193 0 1
310000 4 3 187 0 2
360000 4 2.5 193 1 2
550000 4 2.5 193 1 2
660000 4 3.25 281 0 3
225000 3 1 95 0 1
625000 4 2 188 1 3
225500 4 2 134 0 1
252500 3 2 107 0 2
725000 3 2.5 180 1 2
267500 5 3.5 222 0 2
274700 4 2 227 0 2
9e+05 4 2.5 247 1 3
902000 4 2.25 235 1 3
651000 3 2 180 1 2
208000 3 1 92 0 1
317000 3 2 164 0 2
614000 5 2.5 293 0 3
532500 3 1.75 151 1 2
925000 4 2.5 203 1 3
605000 4 2.5 226 0 3
647500 3 1.75 120 1 2
445950 3 1.75 121 1 2
780000 4 3 227 1 3
2200000 5 4.25 431 0 3
372000 4 1.75 182 0 2
