Number	Country	FertilityRate	IQ	Pop_1950	Pop_2000	Pop_2050
1	Afghanistan	6.69	84	8150368	23898198	81933479
2	Albania	2.03	90	1227156	3473835	4016945
3	Algeria	1.89	83	8892718	30409300	43983870
4	Andorra	1.3	98	6176	66824	69129
5	Angola	6.35	68	4117617	10377267	24746652
6	Antigua&Barbuda	2.24	70	45816	66464	69259
7	Argentina	2.16	93	17150336	37497728	48740060
8	Armenia	1.33	94	1355269	3042556	2943441
9	Australia	1.76	98	8267337	19164620	24175783
10	Austria	1.36	100	6935100	8113413	7520950
11	Azerbaijan	2.46	87	2885332	7809052	9955428
12	Bahamas	2.18	84	70498	290075	324052
13	Bahrain	2.6	83	114840	634137	973412
14	Bangladesh	3.11	82	45645964	130406594	279955405
15	Barbados	1.65	80	210666	273483	274523
16	Belarus	1.43	97	7722155	1033697	7738613
17	Belgium	1.64	99	8639369	10263618	9882599
18	Belize	3.6	84	65797	247887	541734
19	Benin	5.2	70	1672661	6627964	16356458
20	Bermuda	1.89	90	38869	62971	66025
21	Bhutan	4.74	80	734000	2005222	4653000
22	Bolivia	2.85	87	2766028	815260	13772819
23	Bosnia&Herzegovina	1.22	90	2662000	4035457	3891669
24	Botswana	2.79	70	430413	1607069	1411662
25	Brazil	1.91	87	53443075	175552771	228426737
26	Brunei	2.28	91	44983	336376	600998
27	Bulgaria	1.38	93	7250500	7818495	4651477
28	BurkinaFaso	6.47	68	4376162	11308552	43656786
29	Burundi	6.55	69	2362522	6621166	22852556
30	Cambodia	3.37	91	4471170	12466262	25089909
31	Cameroon	4.39	64	4887591	15343036	34908839
32	Canada	1.61	99	14011422	31278097	41429579
33	CapeVerde	3.38	76	146403	401343	380614
34	CentralAfricanRep	4.41	64	1259816	3935417	6502151
35	Chile	2	90	6090833	15153450	19244843
35	Chad	6.25	68	2607769	8316481	29547665
37	China	1.73	105	562579779	1268853362	1424161948
38	Colombia	2.54	84	11591658	39685655	64534420
39	Comoros	5.03	77	148057	578400	1835099
40	Congo_Zaire	6.45	65	13568762	52021832	183177415
41	Congo_Brazz	6.07	64	826308	3102404	9618358
42	CookIslands	3.1	89	14575	20407	24930
43	CostaRica	2.24	89	866982	3710558	5696700
44	Cote_d_Ivoire	4.5	69	2860288	15563387	32400664
45	Croatia	1.4	90	3837297	4410830	3864201
46	Cuba	1.66	85	5784797	11134273	10477677
47	Cyprus	1.82	91	494000	758363	841102
48	CzechRepublic	1.21	98	8925122	10270128	8540221
49	Denmark	1.74	98	4271000	5337416	5575147
50	Djibouti	5.31	68	60036	430822	993011
51	Dominica	1.94	67	51423	71540	81961
52	DominicanRepublic	2.83	82	2352968	8410393	14657962
53	Ecuador	2.68	88	3369955	12505204	20332088
54	Egypt	2.83	81	21197691	70492342	126920512
55	ElSalvador	3.12	80	1939800	6122515	12039149
56	EquatorialGuinea	4.55	64	211204	473216	1063071
57	Eritrea	5.08	68	1403000	4356581	10164000
58	Estonia	1.4	99	1095610	1379835	861913
59	Ethiopia	5.22	64	20174562	64690052	144716331
60	Fiji	2.73	85	287348	832494	1447573
61	Finland	1.73	99	4008900	5168595	4819615
62	France	1.84	98	41828673	59381628	61017122
63	Gabon	4.74	64	415767	1235484	3221749
64	Gambia	5.3	66	271369	1367884	4068861
65	Georgia	1.42	94	3515602	4777209	3784724
66	Germany	1.39	99	68374572	82187909	73607121
67	Ghana	3.99	71	5297454	19736036	38735638
68	Greece	1.34	92	7566028	10559110	10035935
69	Grenada	2.34	71	75806	89312	87136
70	Guatemala	3.82	79	2968976	11085025	22995434
71	Guinea	5.79	67	2585509	8638858	28713509
72	GuineaBissau	4.86	67	573268	1278273	2895666
73	Guyana	2.04	87	427971	755171	597806
74	Haiti	4.94	67	3097220	7443620	19807275
75	Honduras	3.59	81	1431447	6347658	12641869
76	HongKong	.95	108	2237000	6658720	6172725
77	Hungary	1.32	98	9338000	10137449	8374619
78	Iceland	1.92	101	142938	281043	350922
79	India	2.73	82	369880000	1004124224	1807878574
80	Indonesia	2.4	87	82978392	213829469	313020847
81	Iran	1.8	84	16357000	63273255	81490039
82	Iraq	4.18	87	5163443	22675617	56360779
83	Ireland	1.86	92	2963018	3791690	5396215
84	Israel	2.41	95	1286131	5842454	8516835
85	Italy	1.28	102	47105000	57719337	50389841
86	Jamaica	2.41	71	1384550	2615447	3499068
87	Japan	1.4	105	83805000	126699784	99886568
88	Jordan	2.63	84	561254	4998564	11772789
89	Kazakhstan	1.89	94	6693230	15032140	15099700
90	Kenya	4.91	72	6121184	30507979	65175864
91	Kiribati	4.16	85	33448	91985	235342
92	Kuwait	2.91	86	144774	1973572	6374800
93	Kyrgyzstan	2.69	90	1738961	4851054	8237623
94	Laos	4.68	89	1885984	5497733	13176153
95	Latvia	1.27	98	1936498	2376178	1544073
96	Lebanon	1.9	82	1364030	3578036	4940731
