diametro 	altura	 volumen   
0.05		7.421446723	0.009366071	
0.1		8.955043563	0.034981651	
0.15		9.995129701	0.079802575	
0.2		10.80554887	0.145631579	
0.25		11.47914245	0.233842105	
0.05		7.508736198	0.009490385	
0.1		9.060370878	0.035376344	
0.15		10.11269029	0.080665037	
0.2		10.93264143	0.147197183	
0.25		11.61415768	0.236384615	
0.05		10.45408315	0.013820513	
0.1		12.61435587	0.049873684	
0.15		14.07945391	0.112582418	
0.2		15.22103582	0.204326531	
0.25		16.16988091	0.327141026	
0.3		16.98888745	0.482662162	
0.35		17.71362797	0.672111111	
0.05		10.67981282	0.014210526	
0.1		12.8867312	0.051068182	
0.15		14.38346434	0.115068421	
0.2		15.54969585	0.208821429	
0.25		16.51902887	0.334240741	
0.3		17.35571979	0.493113208	
0.35		18.09610927	0.686758621	
0.05		13.03138059	0.018		
0.1		15.72423615	0.063586207	
0.15		17.55053213	0.142042553	
0.2		18.97355394	0.256433121	
0.25		20.15632257	0.409421965	
0.3		21.17724288	0.602746154	
0.35		22.08065731	0.838181818	
0.4		22.8943235	1.117368421	
0.1		16.12378103	0.065466667	
0.15		17.99648226	0.145982456	
0.2		19.45566234	0.26341	
0.25		20.66848451	0.420160714	
0.3		21.7153459	0.618494253	
0.35		22.64171563	0.859807018	
0.4		23.47605666	1.1465	
0.1		17.26642753	0.071		
0.15		19.27184177	0.15725	
0.2		20.83442979	0.283145833	
0.25		22.13320122	0.451188679	
0.3		23.2542507	0.663496403	
0.35		24.24626961	0.922402062	
0.4		25.13973803	1.228896552	
0.45		25.9551224	1.585333333	
0.15		19.65061728	0.1605	
0.2		21.24391695	0.289125	
0.25		22.56821489	0.460622642	
0.3		23.71129786	0.677131313	
0.35		24.72281426	0.940806818	
0.4		25.63384322	1.253384615	
0.45		26.46525344	1.617		
0.15		21.79441454	0.18		
0.2		23.5615363	0.3235	
0.25		25.03030941	0.514133333	
0.3		26.29809778	0.754864865	
0.35		27.41996625	1.047681818	
0.4		28.43038452	1.394692308	
0.45		29.352498	1.7975	
0.5		30.20267066	2.257941176	
0.55		30.99293923	2.7775	
