diametro 	altura	 volumen    zpino
0.21082	21.336	0.29166352	0
0.21844	19.812	0.29166352	0
0.22352	19.2024	0.288831835	0
0.2667	21.9456	0.464396284	0
0.27178	24.6888	0.532356716	0
0.27432	25.2984	0.557841878	0
0.2794	20.1168	0.441742807	0
0.2794	22.86		0.515366608	0
0.28194	24.384	0.639960733	0
0.28448	22.86		0.563505247	0
0.28702	24.0792	0.685267688	0
0.28956	23.1648	0.594653778	0
0.28956	23.1648	0.605980517	0
0.29718	21.0312	0.603148832	0
0.3048	22.86		0.54085177	0
0.32766	22.5552	0.628633994	0
0.32766	25.908	0.957109415	0
0.33782	26.2128	0.775881597	0
0.34798	21.6408	0.727742957	0
0.35052	19.5072	0.70508948	0
0.3556	23.7744	0.976931207	0
0.36068	24.384	0.897644037	0
0.3683	22.5552	1.027901531	0
0.4064	21.9456	1.084535224	0
0.41402	23.4696	1.206297665	0
0.43942	24.6888	1.568753301	0
0.4445	24.9936	1.577248355	0
0.45466	24.384	1.650872156	0
0.4572	24.384	1.458317599	0
0.4572	24.384	1.444159176	0
0.52324	26.5176	2.180397188	0
