"PROVINC" "ALIMENT" "VESTIDO" "VIVIENDA" "SALUD" "TRANSP" "CULTURA"
"1" "ALAVA       " 88799 26419 55728 6875 28984 17063
"2" "ALBACETE    " 64766 18090 25441 3505 19792 8784
"3" "ALICANTE    " 72414 23322 33941 7003 35391 19121
"4" "ALMERIA     " 67833 16410 27051 4494 21184 11025
"5" "AVILA       " 69529 17993 22384 3325 19777 9122
"6" "BADAJOZ     " 56979 14330 23675 2625 17918 7602
"7" "BALEARES    " 81950 21555 55605 4991 43660 17331
"8" "BARCELONA   " 83842 20334 43446 7749 38395 21537
"9" "BURGOS      " 76535 17907 52624 3438 27402 15750
"10" "CACERES     " 64665 15546 26985 3534 25448 9657
"11" "CADIZ       " 67172 16663 26695 4875 21606 10255
"12" "CASTELLON   " 80267 24143 43467 7821 35672 15839
"13" "C.REAL      " 67187 15634 30167 3224 14363 7178
"14" "CORDOBA     " 69438 20081 27536 4597 23211 11765
"15" "CORU¥A      " 81808 19317 40952 3314 26027 12024
"16" "CUENCA      " 69251 17439 29787 2909 20177 11948
"17" "GERONA      " 84231 22444 40874 9758 44567 17617
"18" "GRANADA     " 61570 19337 26031 3193 23200 10628
"19" "GUADALAJARA " 73101 16104 27739 3402 20631 11890
"20" "GUIPUZC0A   " 78754 22189 48535 7268 32286 20690
"21" "HUELVA      " 70394 15266 31848 4548 21974 9828
"22" "HUESCA      " 83104 22549 49439 5944 41217 16557
"23" "JAEN        " 64473 16458 36762 3180 18281 10054
"24" "LEON        " 69629 18321 36339 3892 33229 11122
"25" "LERIDA      " 86520 21412 29895 7457 30312 18526
"26" "RIOJA       " 80846 20717 36573 4475 29919 13183
"27" "LUGO        " 91251 21325 38465 4969 32298 9488
"28" "MADRID      " 81108 23468 51771 6804 43335 22987
"29" "MALAGA      " 69110 20735 27941 3836 27061 14228
"30" "MURCIA      " 76543 18689 36892 5503 27205 12451
"31" "NAVARRA     " 83472 25740 39173 7317 44395 19921
"32" "ORENSE      " 88082 25078 32962 3982 23298 8748
"33" "OVIEDO      " 75632 22940 38269 4381 29322 14052
"34" "PALENCIA    " 81118 24761 30049 4966 35327 18224
"35" "LAS PALMAS  " 67085 12850 26550 4515 27753 14464
"36" "PONTEVEDRA  " 80287 18488 38222 4015 28488 9724
"37" "SALAMANCA   " 76032 19687 28782 4244 19460 11311
"38" "S.C.DE TENER" 64547 15578 34461 6698 34289 13686
"39" "SANTANDER   " 83448 27612 48073 4968 35022 16011
"40" "SEGOVIA     " 81789 24147 30808 4249 25551 14491
"41" "SEVILLA     " 65053 16553 32820 4107 28950 13150
"42" "SORIA       " 81706 20404 33984 3733 21962 10667
"43" "TARRAGONA   " 76314 15969 29937 5530 30165 15170
"44" "TERUEL      " 72377 14609 17870 2914 18371 10116
"45" "TOLEDO      " 65161 14962 24127 3503 21139 10079
"46" "VALENCIA    " 70514 17789 34449 5272 36246 16417
"47" "VALLADOLID  " 74065 21838 34674 5137 35660 16600
"48" "VIZCAYA     " 79186 26804 45825 6777 43315 19972
"49" "ZAMORA      " 74228 16778 26950 2445 18643 8561
"50" "ZARAGOZA    " 81124 20225 43605 10143 33677 20386
"51" "CEUTA-MELILL" 86638 17629 27273 3836 21649 13086
